results,metrics,epochs,model,batch_size,learning_rate,weight_decay
18.393,eval_samples_per_second,20-epochs,distilBert,32,0.0002,0.01
2.299,eval_steps,20-epochs,distilBert,32,0.0002,0.01
29.1408,eval_runtime,20-epochs,distilBert,32,0.0002,0.01
8.761584282,eval_loss,20-epochs,distilBert,32,0.0002,0.01
0.222038401,eval_precision,20-epochs,distilBert,32,0.0002,0.01
0.105809129,eval_recall,20-epochs,distilBert,32,0.0002,0.01
0.111087489,eval_f1,20-epochs,distilBert,32,0.0002,0.01
0.105809129,eval_accuracy,20-epochs,distilBert,32,0.0002,0.01
17.526,eval_samples_per_second,50-epochs,distilBert,32,0.0002,0.01
2.254,eval_steps,50-epochs,distilBert,32,0.0002,0.01
32.1689,eval_runtime,50-epochs,distilBert,32,0.0002,0.01
10.152,eval_loss,50-epochs,distilBert,32,0.0002,0.01
0.203714109,eval_precision,50-epochs,distilBert,32,0.0002,0.01
0.093360996,eval_recall,50-epochs,distilBert,32,0.0002,0.01
0.093806784,eval_f1,50-epochs,distilBert,32,0.0002,0.01
0.093360996,eval_accuracy,50-epochs,distilBert,32,0.0002,0.01
23.214,eval_samples_per_second,10-epochs,distilBert,32,0.0002,0.01
2.902,eval_steps,10-epochs,distilBert,32,0.0002,0.01
23.0895,eval_runtime,10-epochs,distilBert,32,0.0002,0.01
3.203106403,eval_loss,10-epochs,distilBert,32,0.0002,0.01
0.56164032,eval_precision,10-epochs,distilBert,32,0.0002,0.01
0.352697095,eval_recall,10-epochs,distilBert,32,0.0002,0.01
0.417293955,eval_f1,10-epochs,distilBert,32,0.0002,0.01
0.352697095,eval_accuracy,10-epochs,distilBert,32,0.0002,0.01
21.672,eval_samples_per_second,20-epochs,mbert,16,0.000002,0.01
2.709,eval_steps,20-epochs,mbert,16,0.000002,0.01
24.7322,eval_runtime,20-epochs,mbert,16,0.000002,0.01
2.414263964,eval_loss,20-epochs,mbert,16,0.000002,0.01
0.488577622,eval_precision,20-epochs,mbert,16,0.000002,0.01
0.498481562,eval_recall,20-epochs,mbert,16,0.000002,0.01
0.47402747,eval_f1,20-epochs,mbert,16,0.000002,0.01
0.498481562,eval_accuracy,20-epochs,mbert,16,0.000002,0.01
21.62,eval_samples_per_second,50-epochs,mbert,16,0.000002,0.01
2.702,eval_steps,50-epochs,mbert,16,0.000002,0.01
24.792,eval_runtime,50-epochs,mbert,16,0.000002,0.01
2.188067436,eval_loss,50-epochs,mbert,16,0.000002,0.01
0.522210249,eval_precision,50-epochs,mbert,16,0.000002,0.01
0.528850325,eval_recall,50-epochs,mbert,16,0.000002,0.01
0.506599761,eval_f1,50-epochs,mbert,16,0.000002,0.01
0.528850325,eval_accuracy,50-epochs,mbert,16,0.000002,0.01
21.653,eval_samples_per_second,10-epochs,mbert,16,0.000002,0.01
2.707,eval_steps,10-epochs,mbert,16,0.000002,0.01
24.7539,eval_runtime,10-epochs,mbert,16,0.000002,0.01
2.030128717,eval_loss,10-epochs,mbert,16,0.000002,0.01
0.568582162,eval_precision,10-epochs,mbert,16,0.000002,0.01
0.567895879,eval_recall,10-epochs,mbert,16,0.000002,0.01
0.54644816,eval_f1,10-epochs,mbert,16,0.000002,0.01
0.567895879,eval_accuracy,10-epochs,mbert,16,0.000002,0.01
21.546,eval_samples_per_second,10-epochs,aleph-bert-gimel,16,0.000002,0.01
2.693,eval_steps,10-epochs,aleph-bert-gimel,16,0.000002,0.01
24.8768,eval_runtime,10-epochs,aleph-bert-gimel,16,0.000002,0.01
3.948101997,eval_loss,10-epochs,aleph-bert-gimel,16,0.000002,0.01
0.337040029,eval_precision,10-epochs,aleph-bert-gimel,16,0.000002,0.01
0.370508982,eval_recall,10-epochs,aleph-bert-gimel,16,0.000002,0.01
0.336786711,eval_f1,10-epochs,aleph-bert-gimel,16,0.000002,0.01
0.370508982,eval_accuracy,10-epochs,aleph-bert-gimel,16,0.000002,0.01
30.674,eval_samples_per_second,20-epochs,aleph-bert-gimel,16,0.000002,0.01
3.834,eval_steps,20-epochs,aleph-bert-gimel,16,0.000002,0.01
17.4739,eval_runtime,20-epochs,aleph-bert-gimel,16,0.000002,0.01
3.893998384,eval_loss,20-epochs,aleph-bert-gimel,16,0.000002,0.01
0.335261908,eval_precision,20-epochs,aleph-bert-gimel,16,0.000002,0.01
0.371257485,eval_recall,20-epochs,aleph-bert-gimel,16,0.000002,0.01
0.336093884,eval_f1,20-epochs,aleph-bert-gimel,16,0.000002,0.01
0.371257485,eval_accuracy,20-epochs,aleph-bert-gimel,16,0.000002,0.01
30.691,eval_samples_per_second,50-epochs,aleph-bert-gimel,16,0.000002,0.01
3.836,eval_steps,50-epochs,aleph-bert-gimel,16,0.000002,0.01
17.4644,eval_runtime,50-epochs,aleph-bert-gimel,16,0.000002,0.01
3.855382204,eval_loss,50-epochs,aleph-bert-gimel,16,0.000002,0.01
0.342577423,eval_precision,50-epochs,aleph-bert-gimel,16,0.000002,0.01
0.374251497,eval_recall,50-epochs,aleph-bert-gimel,16,0.000002,0.01
0.341467561,eval_f1,50-epochs,aleph-bert-gimel,16,0.000002,0.01
0.374251497,eval_accuracy,50-epochs,aleph-bert-gimel,16,0.000002,0.01
245.389,eval_samples_per_second,10-epochs,tav-bert,32,0.000002,0.01
30.674,eval_steps,10-epochs,tav-bert,32,0.000002,0.01
2.1843,eval_runtime,10-epochs,tav-bert,32,0.000002,0.01
0.570507765,eval_loss,10-epochs,tav-bert,32,0.000002,0.01
0.850452472,eval_precision,10-epochs,tav-bert,32,0.000002,0.01
0.84555282,eval_recall,10-epochs,tav-bert,32,0.000002,0.01
0.844774119,eval_f1,10-epochs,tav-bert,32,0.000002,0.01
0.84555282,eval_accuracy,10-epochs,tav-bert,32,0.000002,0.01
245.771,eval_samples_per_second,20-epochs,tav-bert,32,0.000002,0.01
30.721,eval_steps,20-epochs,tav-bert,32,0.000002,0.01
2.1809,eval_runtime,20-epochs,tav-bert,32,0.000002,0.01
0.610123336,eval_loss,20-epochs,tav-bert,32,0.000002,0.01
0.839592308,eval_precision,20-epochs,tav-bert,32,0.000002,0.01
0.834528524,eval_recall,20-epochs,tav-bert,32,0.000002,0.01
0.833140613,eval_f1,20-epochs,tav-bert,32,0.000002,0.01
0.834528524,eval_accuracy,20-epochs,tav-bert,32,0.000002,0.01
